,id,integralizacao,media_programacao,media_matematica,media_NE,media_NC,reprovacoes_programacao,reprovacoes_matematica,reprovacoes_NE,reprovacoes_NC,quantidade_trancamentos
173,33,7,6.849999999999999,,8.25,6.15,2.0,,0.0,2.0,0
174,34,0,0.525,,0.0,1.05,4.0,,2.0,2.0,0
175,35,0,6.8,3.4,,5.949999999999999,1.0,1.0,,2.0,0
176,35,1,7.533333333333334,6.5,,7.220000000000001,1.0,0.0,,1.0,0
177,35,2,5.633333333333333,6.9,5.5,5.8999999999999995,5.0,0.0,1.0,4.0,0
178,35,3,7.0,,7.5,5.0,1.0,,0.0,1.0,0
179,35,4,5.18,,5.125,5.4,3.0,,2.0,1.0,0
180,35,5,6.6,4.5,6.55,5.65,1.0,1.0,1.0,1.0,0
181,35,6,6.9,6.8,7.1000000000000005,6.959999999999999,3.0,0.0,2.0,1.0,0
182,36,0,6.04,3.0,,5.1,2.0,2.0,,5.0,0
183,36,1,5.925,7.55,,6.466666666666666,2.0,0.0,,2.0,0
184,36,2,2.8181818181818183,,1.0,4.333333333333333,9.0,,5.0,4.0,0
185,37,0,6.12,5.7,,6.2375,3.0,1.0,,4.0,0
186,37,2,7.625,9.45,,8.233333333333333,0.0,0.0,,0.0,0
187,37,3,7.18,,5.3,7.65,1.0,,1.0,0.0,0
188,37,4,6.340000000000001,9.5,6.487500000000001,7.0,4.0,0.0,3.0,1.0,0
189,37,5,4.541666666666666,,4.15,5.96,9.0,,7.0,2.0,0
190,37,6,5.7124999999999995,,5.728571428571429,5.6,3.0,,2.0,1.0,0
191,38,0,5.166666666666667,,,5.166666666666667,2.0,,,2.0,0
192,39,0,6.08,0.9,,4.0874999999999995,2.0,2.0,,5.0,0
193,39,1,4.4875,1.9,5.0,3.4749999999999996,4.0,1.0,1.0,5.0,0
194,39,2,3.0555555555555554,3.8,0.8333333333333334,4.075000000000001,7.0,2.0,3.0,6.0,0
195,40,0,5.766666666666667,4.85,,5.5777777777777775,4.0,1.0,,6.0,1
196,40,1,4.361538461538462,7.199999999999999,3.3,5.460000000000001,10.0,0.0,5.0,5.0,1
197,40,2,3.6,0.4,2.6750000000000003,3.725,11.0,2.0,8.0,5.0,1
198,40,3,4.788888888888889,,4.2625,3.0,5.0,,5.0,2.0,1
199,41,0,6.88,4.05,,5.875,1.0,2.0,,4.0,0
200,41,1,4.699999999999999,3.7,4.2,4.570588235294117,12.0,4.0,3.0,14.0,0
201,41,2,4.378571428571428,5.8,4.24,5.7250000000000005,11.0,2.0,8.0,5.0,0
202,41,3,5.470000000000001,,5.588888888888889,4.4,5.0,,4.0,1.0,0
203,41,4,5.283333333333334,,5.6000000000000005,4.966666666666667,4.0,,2.0,2.0,0
204,42,0,6.0,,,6.0,0.0,,,0.0,1
205,42,1,4.985714285714286,3.1333333333333333,,4.136363636363636,3.0,2.0,,6.0,1
206,43,0,5.357142857142857,4.925000000000001,4.5,5.316666666666666,10.0,4.0,1.0,14.0,0
207,43,1,5.242857142857143,6.8,5.28,5.7,4.0,0.0,3.0,1.0,0
208,43,2,6.2,,,6.2,0.0,,,0.0,0
209,43,3,7.44,,8.5,5.85,1.0,,0.0,1.0,0
210,43,4,6.490909090909091,,6.0875,7.8,4.0,,4.0,0.0,0
211,43,5,6.857142857142857,,7.875,5.5,3.0,,1.0,2.0,0
212,43,6,6.8,,,6.8,0.0,,,0.0,0
213,44,0,5.4799999999999995,1.0,,3.8625,2.0,2.0,,5.0,0
214,44,1,5.044444444444444,3.1599999999999993,6.0,4.246153846153847,6.0,4.0,0.0,10.0,0
215,44,2,3.376923076923077,0.5,2.1,4.109999999999999,9.0,2.0,5.0,6.0,0
216,45,0,6.9,5.7,6.6,6.4799999999999995,1.0,1.0,0.0,3.0,0
217,45,1,6.233333333333334,6.5,5.5,6.3999999999999995,3.0,0.0,1.0,2.0,0
218,45,2,7.419999999999999,,7.45,7.3,0.0,,0.0,0.0,0
219,45,3,6.360000000000001,,6.550000000000001,7.35,1.0,,0.0,1.0,0
220,45,4,7.8,,8.433333333333334,5.9,1.0,,0.0,1.0,0
221,45,5,6.860000000000001,,6.6,7.033333333333334,2.0,,1.0,1.0,0
222,46,0,9.2,7.5,,8.774999999999999,0.0,0.0,,0.0,0
223,46,2,9.75,8.3,,8.92,0.0,0.0,,0.0,0
224,46,3,7.4,10.0,,7.92,0.0,0.0,,0.0,0
225,46,4,7.775,,7.6,7.833333333333333,0.0,,0.0,0.0,0
226,46,5,8.78,,9.0,7.9,0.0,,0.0,0.0,0
227,46,6,5.74,,5.450000000000001,6.9,1.0,,1.0,0.0,0
228,46,7,8.557142857142859,,8.74,8.1,0.0,,0.0,0.0,0
229,46,9,8.642857142857142,,9.0,8.625,0.0,,0.0,0.0,0
230,47,0,5.959999999999999,4.1,,5.437499999999999,2.0,2.0,,5.0,1
231,47,1,4.346153846153847,4.7,5.1,4.183333333333333,9.0,2.0,3.0,8.0,1
232,47,2,5.027777777777779,2.35,4.49,5.03,14.0,2.0,9.0,7.0,1
233,47,3,5.025,4.3,5.5375000000000005,4.06,7.0,1.0,3.0,5.0,1
234,47,4,5.5,4.5,4.65,5.733333333333333,1.0,1.0,1.0,1.0,1
235,47,5,4.66,5.45,4.66,6.466666666666666,2.0,1.0,2.0,1.0,1
236,48,0,7.866666666666667,3.3,,6.725,0.0,1.0,,1.0,1
237,48,1,6.0,4.25,,5.7,1.0,1.0,,2.0,1
238,49,0,7.633333333333333,7.0,,7.475,1.0,0.0,,1.0,0
239,49,1,8.45,6.75,,7.839999999999999,0.0,0.0,,0.0,0
240,49,3,8.825,7.7,,8.6,0.0,0.0,,0.0,0
241,49,4,8.180000000000001,,8.2,8.175,0.0,,0.0,0.0,0
242,49,5,7.9,,7.8999999999999995,7.9,0.0,,0.0,0.0,0
243,49,6,7.4799999999999995,,7.625,6.9,0.0,,0.0,0.0,0
244,49,7,7.683333333333334,,7.359999999999999,9.3,1.0,,1.0,0.0,0
245,49,9,8.657142857142858,,8.225000000000001,8.8,0.0,,0.0,0.0,0
246,50,0,6.966666666666666,,,6.966666666666666,2.0,,,2.0,0
247,50,1,7.7,5.8,7.633333333333333,6.85,0.0,1.0,0.0,1.0,0
248,50,3,7.016666666666667,,6.9,7.25,0.0,,0.0,0.0,0
249,50,4,7.779999999999999,,7.475,9.0,0.0,,0.0,0.0,0
250,50,5,8.125,7.6,8.4,7.949999999999999,0.0,0.0,0.0,0.0,0
251,50,6,8.8,,8.8,,0.0,,0.0,,0
252,51,0,4.526666666666667,5.08,5.0,4.957142857142856,13.0,5.0,1.0,17.0,0
253,51,1,4.46,,4.714285714285714,3.8666666666666667,7.0,,5.0,2.0,0
254,51,2,6.683333333333334,,5.9,8.25,2.0,,2.0,0.0,0
255,51,3,4.33181818181818,,4.6000000000000005,4.0636363636363635,16.0,,6.0,10.0,0
256,51,4,5.257142857142857,,5.533333333333334,5.05,4.0,,2.0,2.0,0
257,52,0,4.03125,2.0166666666666666,2.4999999999999996,3.4799999999999995,14.0,5.0,3.0,17.0,0
258,52,1,3.477777777777778,4.0,2.6833333333333336,4.671428571428572,6.0,2.0,5.0,4.0,0
259,52,2,5.3,0.0,6.3,3.1999999999999997,1.0,1.0,0.0,2.0,0
260,52,3,6.0,,6.3999999999999995,5.733333333333333,3.0,,1.0,3.0,0
261,52,4,7.016666666666668,3.7,7.175,5.7,0.0,1.0,0.0,1.0,0
262,52,5,5.500000000000001,3.3,6.65,4.750000000000001,2.0,1.0,0.0,3.0,0
263,52,6,6.725,,6.699999999999999,6.8,1.0,,1.0,0.0,0
264,52,7,7.0,6.8,6.966666666666666,6.949999999999999,1.0,0.0,1.0,0.0,0
265,53,0,4.68,5.6000000000000005,,5.133333333333334,3.0,2.0,,5.0,0
266,53,1,3.642857142857143,2.75,,3.4444444444444446,5.0,2.0,,7.0,0
267,54,0,0.13333333333333333,0.0,,0.1,3.0,1.0,,4.0,0
268,55,0,5.8999999999999995,1.9333333333333333,,4.644444444444444,3.0,3.0,,6.0,1
269,55,1,4.835714285714286,1.5,6.3,3.51875,9.0,5.0,1.0,13.0,1
270,55,2,4.066666666666666,3.8,4.8999999999999995,3.375,5.0,1.0,3.0,3.0,1
271,56,0,7.2,5.2,,6.7,1.0,1.0,,2.0,0
272,56,1,6.550000000000001,4.875,,6.127272727272728,1.0,4.0,,5.0,0
273,56,2,4.968749999999999,,4.83,5.2,13.0,,8.0,5.0,0
274,56,3,6.525,,6.7,6.0,1.0,,1.0,0.0,0
275,56,4,7.775,9.0,7.8500000000000005,8.225,0.0,0.0,0.0,0.0,0
276,56,5,4.8,,4.359999999999999,7.0,2.0,,2.0,0.0,0
277,56,6,6.7625,,6.3,10.0,3.0,,3.0,0.0,0
278,57,0,4.872727272727272,3.175,,4.30625,8.0,4.0,,13.0,0
279,57,1,5.009090909090909,4.35,5.32,4.688888888888889,7.0,1.0,4.0,5.0,0
280,57,2,6.4,,5.65,7.1499999999999995,1.0,,1.0,0.0,0
281,57,3,7.166666666666667,6.2,6.55,7.300000000000001,0.0,0.0,0.0,0.0,0
282,57,4,6.266666666666667,,7.42,4.825,4.0,,1.0,3.0,0
283,57,5,6.279999999999999,,7.7,4.15,2.0,,1.0,1.0,0
284,57,6,6.088888888888889,3.9,6.540000000000001,5.2,3.0,1.0,1.0,3.0,0
285,58,0,6.65,2.9,,5.9,2.0,1.0,,3.0,1
286,58,1,5.416666666666667,4.675,,5.29090909090909,3.0,3.0,,6.0,1
287,58,2,5.066666666666666,7.4,6.36,4.690909090909091,11.0,0.0,3.0,8.0,1
288,58,3,3.0076923076923086,,3.7166666666666663,3.2249999999999996,11.0,,5.0,6.0,1
289,58,4,6.2,,5.15,6.7250000000000005,2.0,,1.0,1.0,1
290,58,5,6.683333333333334,,6.9799999999999995,5.2,2.0,,1.0,1.0,1
291,58,6,7.4799999999999995,,8.1,6.55,0.0,,0.0,0.0,1
292,59,0,7.433333333333333,1.2,,5.875,0.0,1.0,,1.0,0
293,59,1,4.89,3.6,4.1,4.766666666666667,7.0,5.0,1.0,11.0,0
